id	org_name	paper_count	is_org	canonical_org_name	country	example1	example2	example3
1	Carnegie Mellon University	1157	1	Carnegie Mellon University	USA	https://www.aclweb.org/anthology/P15-1140.pdf	https://www.aclweb.org/anthology/W13-3510.pdf	https://www.aclweb.org/anthology/D19-1269.pdf	
2	Microsoft Research	756	1	Microsoft	USA	https://papers.nips.cc//paper/7792-community-exploration-from-offline-optimization-to-online-learning.pdf	http://proceedings.mlr.press/v70/zhong17a/zhong17a.pdf	https://www.aclweb.org/anthology/N13-1083.pdf	
3	Stanford University	739	1	Stanford University	USA	https://papers.nips.cc//paper/5281-deep-fragment-embeddings-for-bidirectional-image-sentence-mapping.pdf	http://proceedings.mlr.press/v37/frostig15.pdf	https://papers.nips.cc//paper/6523-data-programming-creating-large-training-sets-quickly.pdf	
4	Tsinghua University	554	1	Tsinghua University	China	https://aaai.org/ojs/index.php/AAAI/article/view/4392/4270	https://papers.nips.cc//paper/6493-adaptive-concentration-inequalities-for-sequential-decision-problems.pdf	https://www.aclweb.org/anthology/D19-1494.pdf	
5	Peking University	524	1	Peking University	China	http://proceedings.mlr.press/v97/zhu19e/zhu19e.pdf	https://papers.nips.cc//paper/8045-efficient-online-portfolio-with-logarithmic-regret.pdf	https://aaai.org/ojs/index.php/AAAI/article/view/4686/4564	
6	University of Washington	458	1	University of Washington	USA	https://www.aclweb.org/anthology/J17-2002.pdf	http://proceedings.mlr.press/v80/ainsworth18a/ainsworth18a.pdf	https://openreview.net/pdf?id=ryazCMbR-	
7	University of Cambridge	425	1	University of Cambridge	UK	http://proceedings.mlr.press/v80/adel18a/adel18a.pdf	https://www.aclweb.org/anthology/C12-1041.pdf	https://www.aclweb.org/anthology/N15-1041.pdf	
8	Chinese Academy of Sciences	386	1	Chinese Academy of Sciences	China	https://aaai.org/ojs/index.php/AAAI/article/view/4929/4802	https://aaai.org/ocs/index.php/AAAI/AAAI18/paper/viewFile/16670/15950	https://www.aclweb.org/anthology/P18-1011.pdf	
9	University of Edinburgh	368	1	University of Edinburgh	UK	https://www.aclweb.org/anthology/E17-2060.pdf	https://www.aclweb.org/anthology/N18-2113.pdf	https://www.aclweb.org/anthology/E14-1063.pdf	
10	University of Oxford	352	1	University of Oxford	UK	https://www.aclweb.org/anthology/D13-1034.pdf	https://papers.nips.cc//paper/8480-controllable-text-to-image-generation.pdf	https://www.aclweb.org/anthology/D13-1166.pdf	
11	University of California Berkeley	344	1	UC Berkeley	USA	https://www.aclweb.org/anthology/N13-1138.pdf	https://papers.nips.cc//paper/7673-regret-bounds-for-robust-adaptive-control-of-the-linear-quadratic-regulator.pdf	https://openreview.net/pdf?id=HJz05o0qK7	
12	Columbia University	335	1	Columbia University	USA	https://www.aclweb.org/anthology/D19-1126.pdf	https://www.aclweb.org/anthology/P16-1180.pdf	https://papers.nips.cc//paper/7061-beyond-worst-case-a-probabilistic-analysis-of-affine-policies-in-dynamic-optimization.pdf	
13	Massachusetts Institute of Technology	328	1	Massachusetts Institute of Technology	USA	https://www.aclweb.org/anthology/N18-2117.pdf	https://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/viewFile/4998/5376	https://openreview.net/pdf?id=S1xNb2A9YX	
14	Johns Hopkins University	307	1	Johns Hopkins University	USA	http://proceedings.mlr.press/v97/mei19a/mei19a.pdf	http://proceedings.mlr.press/v32/haeffele14.pdf	https://www.aclweb.org/anthology/N18-1034.pdf	
15	Cornell University	305	1	Cornell University	USA	http://proceedings.mlr.press/v97/yin19a/yin19a.pdf	https://papers.nips.cc//paper/7111-bayesian-optimization-with-gradients.pdf	https://icml.cc/2012/papers/760.pdf	
16	Google Brain	298	1	Google	USA	https://www.aclweb.org/anthology/D17-1235.pdf	https://openreview.net/pdf?id=rkHVZWZAZ	https://papers.nips.cc//paper/7126-adagan-boosting-generative-models.pdf	
17	University of Toronto	292	1	University of Toronto	Canada	https://www.aclweb.org/anthology/J13-3004.pdf	https://openreview.net/pdf?id=HJgd1nAqFX	https://papers.nips.cc//paper/8990-stochastic-runge-kutta-accelerates-langevin-monte-carlo-and-beyond.pdf	
18	Google Research	281	1	Google	USA	https://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/viewFile/12269/12126	https://papers.nips.cc//paper/9399-robustness-verification-of-tree-based-models.pdf	https://papers.nips.cc//paper/7088-fair-clustering-through-fairlets.pdf	
19	University of Pennsylvania	281	1	University of Pennsylvania	USA	https://www.aclweb.org/anthology/D17-1126.pdf	https://www.aclweb.org/anthology/D19-1113.pdf	https://www.aclweb.org/anthology/N12-1002.pdf	
20	Facebook AI Research	279	1	Facebook	USA	https://openreview.net/pdf?id=HJeRkh05Km	http://proceedings.mlr.press/v80/ott18a/ott18a.pdf	https://openreview.net/pdf?id=B184E5qee	
21	Princeton University	275	1	Princeton University	USA	http://proceedings.mlr.press/v48/allen-zhua16.pdf	https://openreview.net/pdf?id=ryxB0Rtxx	https://papers.nips.cc//paper/5614-accelerated-mini-batch-randomized-block-coordinate-descent-method.pdf	
22	Stanford	272	1	Stanford University	USA	https://www.aclweb.org/anthology/P19-1059.pdf	https://www.aclweb.org/anthology/P13-2089.pdf	https://www.aclweb.org/anthology/D12-1090.pdf	
23	University of Southern California	261	1	University of Southern California	USA	https://papers.nips.cc//paper/7729-hierarchical-graph-representation-learning-with-differentiable-pooling.pdf	https://www.aclweb.org/anthology/P18-1213.pdf	https://www.aclweb.org/anthology/N19-1253.pdf	
24	DeepMind	256	1	DeepMind	UK	https://openreview.net/pdf?id=H1xwNhCcYm	https://papers.nips.cc//paper/8894-interval-timing-in-deep-reinforcement-learning-agents.pdf	http://proceedings.mlr.press/v80/karmon18a/karmon18a.pdf	
25	Georgia Institute of Technology	255	1	Georgia Institute of Technology	USA	https://papers.nips.cc//paper/8521-learning-transferable-graph-exploration.pdf	https://aaai.org/ocs/index.php/AAAI/AAAI18/paper/viewFile/17167/16750	https://papers.nips.cc//paper/9501-hierarchical-optimal-transport-for-multimodal-distribution-alignment.pdf	
26	MIT	250	1	Massachusetts Institute of Technology	USA	https://www.aclweb.org/anthology/D16-1197.pdf	https://www.aclweb.org/anthology/P12-1066.pdf	https://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/viewFile/5047/5478	
27	University of Chinese Academy of Sciences	246	1	University of Chinese Academy of Sciences	China	https://www.aaai.org/ocs/index.php/AAAI/AAAI15/paper/viewFile/9802/9979	https://aaai.org/ojs/index.php/AAAI/article/view/4486/4364	https://aaai.org/ojs/index.php/AAAI/article/view/4973/4846	
28	Google	244	1	Google	USA	https://papers.nips.cc//paper/8069-graph-oracle-models-lower-bounds-and-gaps-for-parallel-stochastic-optimization.pdf	https://papers.nips.cc//paper/7156-asynchronous-parallel-coordinate-minimization-for-map-inference.pdf	http://proceedings.mlr.press/v80/skerry-ryan18a/skerry-ryan18a.pdf	
29	Duke University	241	1	Duke University	USA	http://proceedings.mlr.press/v97/bertran19a/bertran19a.pdf	https://www.aclweb.org/anthology/D18-1210.pdf	https://papers.nips.cc//paper/5566-scale-adaptive-blind-deblurring.pdf	
30	University of Maryland	240	1	University of Maryland	USA	https://www.aclweb.org/anthology/D16-1149.pdf	https://aaai.org/ocs/index.php/AAAI/AAAI18/paper/viewFile/16962/16273	http://proceedings.mlr.press/v48/he16.pdf	
31	University of Michigan	233	1	University of Michigan	USA	https://aaai.org/ojs/index.php/AAAI/article/view/4525/4403	https://aaai.org/ojs/index.php/AAAI/article/view/4657/4535	https://papers.nips.cc//paper/7192-value-prediction-network.pdf	
32	National University of Singapore	224	1	National University of Singapore	Singapore	http://arxiv.org/pdf/1312.4400.pdf	https://papers.nips.cc//paper/5189-despot-online-pomdp-planning-with-regularization.pdf	https://aaai.org/ocs/index.php/AAAI/AAAI18/paper/viewFile/17308/16137	
33	Harvard University	221	1	Harvard University	USA	https://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/viewFile/4747/5128	https://www.aclweb.org/anthology/D19-1228.pdf	https://papers.nips.cc//paper/5957-mind-the-gap-a-generative-approach-to-interpretable-feature-selection-and-extraction.pdf	
34	IBM Research	219	1	IBM	USA	https://aaai.org/ojs/index.php/AAAI/article/view/4279/4157	https://papers.nips.cc//paper/8438-hierarchical-optimal-transport-for-document-representation.pdf	https://www.aclweb.org/anthology/C18-1067.pdf	
35	Harbin Institute of Technology	204	1	Harbin Institute of Technology	China	https://www.aclweb.org/anthology/C16-1045.pdf	https://www.aclweb.org/anthology/D19-1350.pdf	https://www.aclweb.org/anthology/C12-1192.pdf	
36	New York University	203	1	New York University	USA	https://www.aclweb.org/anthology/D17-1164.pdf	http://proceedings.mlr.press/v97/ramamurthy19a/ramamurthy19a.pdf	https://www.aclweb.org/anthology/D18-1398.pdf	
37	University of Illinois at Urbana-Champaign	201	1	University of Illinois	USA	https://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/viewFile/12530/12037	https://papers.nips.cc//paper/5833-online-learning-with-adversarial-delays.pdf	https://www.aclweb.org/anthology/D19-1078.pdf	
38	University College London	195	1	University College London	UK	https://icml.cc/2012/papers/575.pdf	https://www.aaai.org/ocs/index.php/AAAI/AAAI14/paper/viewFile/8335/8827	http://proceedings.mlr.press/v32/muandet14.pdf	
39	Shanghai Jiao Tong University	193	1	Shanghai Jiao Tong University	China	https://www.aclweb.org/anthology/P14-1013.pdf	https://www.aclweb.org/anthology/C18-1153.pdf	https://aaai.org/ocs/index.php/AAAI/AAAI18/paper/viewFile/17155/16613	
40	The Chinese University of Hong Kong	192	1	The Chinese University of Hong Kong	China	https://www.aclweb.org/anthology/P16-1064.pdf	https://papers.nips.cc//paper/6691-contrastive-learning-for-image-captioning.pdf	https://www.aclweb.org/anthology/N18-1125.pdf	
41	UC Berkeley	191	1	UC Berkeley	USA	https://papers.nips.cc//paper/9269-superposition-of-many-models-into-one.pdf	https://papers.nips.cc//paper/8628-coda-an-end-to-end-neural-program-decompiler.pdf	https://papers.nips.cc//paper/8762-learning-in-generalized-linear-contextual-bandits-with-stochastic-delays.pdf	
42	University of Amsterdam	191	1	University of Amsterdam	Netherlands	https://openreview.net/pdf?id=BJj6qGbRW	https://www.aclweb.org/anthology/D19-1099.pdf	https://www.aclweb.org/anthology/D15-1287.pdf	
43	Language Technologies Institute	187	0	None	None	https://www.aclweb.org/anthology/C16-1107.pdf	https://openreview.net/pdf?id=SyxeqhP9ll	https://www.aclweb.org/anthology/D19-1370.pdf	
44	University of California Los Angeles	182	1	University of California Los Angeles	USA	https://papers.nips.cc//paper/8789-time-series-generative-adversarial-networks.pdf	https://openreview.net/pdf?id=Syx0Mh05YQ	http://proceedings.mlr.press/v80/chen18n/chen18n.pdf	
45	Nanyang Technological University	174	1	Nanyang Technological University	Singapore	https://www.aclweb.org/anthology/C16-1251.pdf	https://papers.nips.cc//paper/6924-sparse-embedded-k-means-clustering.pdf	https://www.aaai.org/ocs/index.php/AAAI/AAAI14/paper/viewFile/8181/8869	
46	University of Alberta	165	1	University of Alberta	Canada	https://icml.cc/2012/papers/803.pdf	https://papers.nips.cc//paper/4632-convex-multi-view-subspace-learning.pdf	https://papers.nips.cc//paper/4663-accelerated-training-for-matrix-norm-regularization-a-boosting-approach.pdf	
47	Institute of Automation	162	0	None	None	https://www.aclweb.org/anthology/D12-1047.pdf	https://www.aclweb.org/anthology/P13-1140.pdf	https://aaai.org/ocs/index.php/AAAI/AAAI18/paper/viewFile/16371/16017	
48	Watson Research Center	161	1	IBM	USA	https://www.aclweb.org/anthology/K16-1004.pdf	https://www.aclweb.org/anthology/P18-1150.pdf	https://www.aclweb.org/anthology/D16-1224.pdf	
49	Nanjing University	160	1	Nanjing University	China	https://papers.nips.cc//paper/7890-proximal-scope-for-distributed-sparse-learning.pdf	https://aaai.org/ojs/index.php/AAAI/article/view/4885/4758	https://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/viewFile/11979/11563	
50	The University of Tokyo	155	1	University of Tokyo	Japan	https://www.aclweb.org/anthology/D15-1277.pdf	https://www.aclweb.org/anthology/P17-2045.pdf	https://www.aaai.org/ocs/index.php/AAAI/AAAI15/paper/viewFile/9418/9320	
51	Microsoft Research Asia	154	1	Microsoft	USA	https://www.aclweb.org/anthology/C18-1072.pdf	https://arxiv.org/pdf/1301.3605.pdf	https://www.aclweb.org/anthology/P13-2043.pdf	
52	The University of Texas at Austin	153	1	University of Texas at Austin	USA	https://papers.nips.cc//paper/5645-the-poisson-gamma-belief-network.pdf	https://www.aaai.org/ocs/index.php/AAAI/AAAI14/paper/viewFile/8541/8457	https://papers.nips.cc//paper/6656-learning-spherical-convolution-for-fast-features-from-360-imagery.pdf	
53	ETH Zurich	152	1	ETH Zürich	Switzerland	https://www.aaai.org/ocs/index.php/AAAI/AAAI14/paper/viewFile/8599/8413	http://proceedings.mlr.press/v48/bauer16.pdf	https://aaai.org/ojs/index.php/AAAI/article/view/3850/3728	
54	College Park	150	0	None	None	https://papers.nips.cc//paper/6085-bi-objective-online-matching-and-submodular-allocations.pdf	https://www.aclweb.org/anthology/C16-1290.pdf	http://proceedings.mlr.press/v28/zhai13.pdf	
55	Fudan University	146	1	Fudan University	China	https://www.aclweb.org/anthology/P18-1233.pdf	https://www.aclweb.org/anthology/D16-1080.pdf	https://www.aaai.org/ocs/index.php/AAAI/AAAI13/paper/viewFile/6109/7315	
56	Allen Institute for Artificial Intelligence	145	1	Allen Institute for Artificial Intelligence	USA	https://www.aclweb.org/anthology/P17-1191.pdf	https://www.aclweb.org/anthology/K17-1034.pdf	https://www.aclweb.org/anthology/D19-1629.pdf	
57	University of Texas at Austin	142	1	University of Texas at Austin	USA	https://papers.nips.cc//paper/5413-diverse-sequential-subset-selection-for-supervised-video-summarization.pdf	https://papers.nips.cc//paper/5809-the-consistency-of-common-neighbors-for-link-prediction-in-stochastic-blockmodels.pdf	https://papers.nips.cc//paper/5807-policy-evaluation-using-the-return.pdf	
